temp,rain_1h,snow_1h,clouds_all,weather_description,date_time,traffic_volume,hour,day_of_week,month,day,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_weekend,is_rush_hour,rolling_mean_6,rolling_std_6,rolling_mean_24,rolling_std_24,lag_1,lag_24,lag_168,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Squall,weather_main_Thunderstorm,holiday_Columbus_Day,holiday_Independence_Day,holiday_Labor_Day,holiday_Martin_Luther_King_Jr_Day,holiday_Memorial_Day,holiday_New_Years_Day,holiday_State_Fair,holiday_Thanksgiving_Day,holiday_Veterans_Day,holiday_Washingtons_Birthday
288.86,0.0,0.0,75,broken clouds,2012-10-09 19:00:00,3418,19,1,10,9,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,5238.5,1116.8428269009044,3693.2083333333335,2150.180679550011,4460.0,4259.0,5545.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
287.36,0.0,0.0,90,overcast clouds,2012-10-09 20:00:00,2775,20,1,10,9,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,4817.666666666667,1499.2755139288668,3680.9583333333335,2154.724222829752,3418.0,3069.0,4516.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
285.11,0.0,0.0,90,overcast clouds,2012-10-09 21:00:00,2306,21,1,10,9,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,4239.166666666667,1709.9304566755527,3677.9583333333335,2156.666438887384,2775.0,2378.0,4767.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
283.46,0.0,0.0,90,overcast clouds,2012-10-09 22:00:00,1846,22,1,10,9,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,3488.6666666666665,1582.1289033029705,3670.2916666666665,2163.0968837810274,2306.0,2030.0,5026.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
282.45,0.0,0.0,90,overcast clouds,2012-10-09 23:00:00,947,23,1,10,9,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,2625.3333333333335,1228.2393360687709,3651.4166666666665,2185.6276566751235,1846.0,1400.0,4918.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.88,0.0,0.0,90,overcast clouds,2012-10-10 00:00:00,494,0,2,10,10,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,1964.3333333333333,1104.347167636451,3633.7916666666665,2210.204200268396,947.0,917.0,5181.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.78,0.0,0.0,90,overcast clouds,2012-10-10 01:00:00,332,1,2,10,10,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,1450.0,1006.185469980551,3626.1666666666665,2221.7172298191695,494.0,515.0,5584.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.09,0.0,0.0,75,broken clouds,2012-10-10 02:00:00,261,2,2,10,10,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,1031.0,856.3616058651742,3624.4583333333335,2224.398540674226,332.0,302.0,6015.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.17,0.0,0.0,90,overcast clouds,2012-10-10 03:00:00,361,3,2,10,10,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,706.8333333333334,609.8437231509765,3629.0416666666665,2217.2472059067863,261.0,251.0,5791.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.25,0.0,0.0,92,sky is clear,2012-10-10 06:00:00,5875,6,2,10,10,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,1378.3333333333333,2216.588339468258,3840.5833333333335,2177.231926625834,361.0,798.0,4770.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.25,0.0,0.0,99,light rain,2012-10-10 07:00:00,6793,7,2,10,10,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,1,2352.6666666666665,3098.481348445824,4012.0416666666665,2242.741014709003,5875.0,2678.0,3539.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
281.25,0.0,0.0,99,light intensity drizzle,2012-10-10 07:00:00,6793,7,2,10,10,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,1,3402.5,3395.6428404648204,4056.2083333333335,2288.084655228637,6793.0,5733.0,2784.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
280.1,0.0,0.0,99,light rain,2012-10-10 08:00:00,6283,8,2,10,10,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,1,4394.333333333333,3181.7875898096445,4049.2916666666665,2280.776211868053,6793.0,6449.0,2361.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
280.1,0.0,0.0,99,light intensity drizzle,2012-10-10 08:00:00,6283,8,2,10,10,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,1,5398.0,2492.2840127080235,4070.875,2300.087338842668,6283.0,5765.0,1529.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
